Taxa,P.axil1002,P.axil1003,P.axil1004,P.axil1012,P.axil1052,P.axil1053,P.axil1054,P.axil1056,P.axil1059,P.axil1062,P.axil1064,P.axil1068,P.axil1069,P.axil1070,P.axil333,P.axil334,P.axil335,P.axil343,P.axil349,P.axil350,P.axil351,P.axil352,P.axil353,P.axil354,P.axil366,P.axil374,P.axil376,P.axil377,P.axil378,P.axil489,P.axil490,P.axil491,P.axil494,P.axil495,P.axil828,P.axil829,P.axil830,P.axil831,P.axil832,P.axil914,P.axil915,P.axil916,P.axil917,P.axil918,P.axil990,P.axil991,P.axil992,P.axil993,P.axil994,axil_09_63,axil_10_63,axil_1115_43,axil_1116_43,axil_1117_43,axil_1120_43,axil_11_63,axil_12_63,axil_14_63,axil_1935,axil_1936,axil_1937,axil_1940,axil_1946
P.axil1002,0.0,0.0065191193,0.008997089,0.010307898,0.16965452,0.17594208,0.17973289,0.17462453,0.16980846,0.16534732,0.15736607,0.1606698,0.16392301,0.16235214,0.19606224,0.20480569,0.20050453,0.19826004,0.19740383,0.20197728,0.19242902,0.1877389,0.19372822,0.19501084,0.18964544,0.20068708,0.19542389,0.19437234,0.19627221,0.19613287,0.20217372,0.2032142,0.19874664,0.20729807,0.20477594,0.19917522,0.19761802,0.19496447,0.19792297,0.19042306,0.19695264,0.19873297,0.20479576,0.20319675,0.19255279,0.19009303,0.19478974,0.19366658,0.2021332,0.17307524,0.17089775,0.1808566,0.18605766,0.18425156,0.16346867,0.17201115,0.17119542,0.17030245,0.17647317,0.1752808,0.18654434,0.18818754,0.16927722
P.axil1003,0.0065191193,0.0,0.006937507,0.011588659,0.16245726,0.17103082,0.17349517,0.1678214,0.1637185,0.1563235,0.15066586,0.15228014,0.15646371,0.1526546,0.19076483,0.19805409,0.19181177,0.19141531,0.19298053,0.19697802,0.18654893,0.18240237,0.18829235,0.18903914,0.18624946,0.19351995,0.18730934,0.18725029,0.18969683,0.19086881,0.19599561,0.19559167,0.18995237,0.19894713,0.1979921,0.19381867,0.19148469,0.18872064,0.19259016,0.18239883,0.19077648,0.19076416,0.19991213,0.19616018,0.18483302,0.18486702,0.18958217,0.18701614,0.19608921,0.16282532,0.1618629,0.17393453,0.1778305,0.17881449,0.15555425,0.16263664,0.16200748,0.16067886,0.16801777,0.16792662,0.18101251,0.17925155,0.16313747
P.axil1004,0.008997089,0.006937507,0.0,0.014310376,0.16931334,0.1754113,0.179282,0.1739977,0.16873844,0.16518626,0.15652174,0.16024978,0.16347007,0.16257517,0.19646339,0.20444897,0.19995566,0.19700481,0.1980965,0.20130846,0.19211866,0.18784945,0.19325045,0.19495799,0.18933211,0.19952115,0.1931048,0.19303797,0.1950853,0.19447756,0.20194261,0.2017371,0.196621,0.20601995,0.20459567,0.19916846,0.1973417,0.1950433,0.1977411,0.1907404,0.1952339,0.19758493,0.2045535,0.20223479,0.19124746,0.18877406,0.1938427,0.19309793,0.20144108,0.17225474,0.17026421,0.18045612,0.18534139,0.18446387,0.16309074,0.17136005,0.17062052,0.16944346,0.17577462,0.17427088,0.18595226,0.18732193,0.16910584
P.axil1012,0.010307898,0.011588659,0.014310376,0.0,0.17048311,0.17649177,0.18001612,0.17492385,0.16943435,0.16594788,0.15879291,0.16216601,0.16419587,0.16348842,0.19605382,0.20475295,0.20064637,0.19814129,0.1983423,0.20205817,0.19275965,0.18825133,0.19344836,0.19440466,0.19059521,0.2018575,0.19508196,0.19531175,0.19601002,0.19750175,0.20205541,0.20219223,0.19853213,0.20734322,0.2041145,0.19934818,0.19802468,0.1959399,0.19891945,0.19082037,0.19711453,0.19951643,0.20481388,0.20313758,0.19288751,0.19105223,0.19517963,0.19343658,0.2024161,0.17265218,0.17035258,0.18132213,0.18681467,0.18472333,0.1641634,0.17165722,0.17075793,0.16983587,0.17635098,0.17520593,0.18644603,0.1882602,0.16916479
P.axil1052,0.16965452,0.16245726,0.16931334,0.17048311,0.0,0.15147547,0.15289472,0.14215559,0.108256236,0.15602458,0.15439892,0.1517321,0.15099852,0.14799185,0.18868582,0.19875804,0.19412994,0.18948613,0.18916804,0.1972736,0.18987453,0.18246026,0.1881922,0.19287886,0.1865478,0.19239812,0.18692175,0.18720423,0.19338599,0.18968037,0.1956126,0.19617583,0.19251792,0.20000866,0.19815168,0.19160151,0.18974937,0.18902968,0.1916645,0.18473016,0.186877,0.19276218,0.19769058,0.19563709,0.18409546,0.18263501,0.18788067,0.19088368,0.19420089,0.17459281,0.17477137,0.19013107,0.18679163,0.19431917,0.17327146,0.17529011,0.1747501,0.17454103,0.1852209,0.1837667,0.19305459,0.19215977,0.18016993
P.axil1053,0.17594208,0.17103082,0.1754113,0.17649177,0.15147547,0.0,0.16056204,0.12265054,0.15011618,0.16186312,0.16278844,0.15679103,0.15963303,0.15828878,0.19495293,0.20426458,0.19802758,0.19461262,0.19723772,0.20313317,0.19555849,0.188772,0.19543746,0.19892052,0.19198957,0.19582097,0.19449817,0.19272625,0.19801636,0.1943494,0.2026158,0.20173584,0.19687304,0.20521286,0.19996521,0.19343194,0.19539331,0.19347543,0.1959788,0.19259359,0.19200695,0.19779694,0.2046127,0.1992089,0.19086461,0.19146751,0.19500221,0.19453686,0.19837263,0.17996508,0.18175408,0.19947803,0.1952456,0.20281665,0.18095592,0.18217596,0.18139048,0.18150894,0.18995346,0.18976752,0.20464708,0.2068588,0.18892108
P.axil1054,0.17973289,0.17349517,0.179282,0.18001612,0.15289472,0.16056204,0.0,0.1458135,0.13287134,0.16240795,0.16129345,0.15879808,0.15777352,0.15802708,0.1987513,0.20279509,0.19868958,0.19661549,0.19734904,0.20147963,0.19464114,0.19061124,0.1941427,0.1964162,0.19569868,0.19877636,0.19606996,0.19455235,0.19868523,0.19655173,0.20241079,0.20139314,0.20008932,0.20596874,0.20247255,0.19933468,0.19713075,0.19551116,0.19855799,0.19141355,0.19491233,0.19741969,0.20323585,0.20351802,0.19128269,0.19070825,0.19127606,0.19309774,0.19852051,0.18227585,0.1822524,0.20195468,0.19867061,0.20262681,0.1820788,0.18282609,0.18245994,0.18283905,0.19000612,0.18875854,0.20338245,0.20342305,0.18589015
P.axil1056,0.17462453,0.1678214,0.1739977,0.17492385,0.14215559,0.12265054,0.1458135,0.0,0.13690297,0.16361779,0.16251937,0.15826575,0.15947638,0.15998839,0.19421057,0.20169814,0.19782798,0.19260326,0.19525626,0.20142919,0.19487965,0.18613067,0.19188271,0.19811974,0.19085991,0.19711706,0.19356546,0.19374248,0.19841544,0.19337742,0.20070057,0.19996493,0.1964589,0.20346676,0.20128128,0.19523309,0.19435072,0.1917316,0.19552252,0.19169044,0.19282317,0.19719164,0.20433088,0.20051047,0.19090343,0.1900957,0.19248042,0.1936046,0.2002858,0.17972891,0.18067375,0.19916868,0.19626859,0.20185153,0.17967232,0.1813909,0.18063985,0.18084368,0.18849449,0.19006309,0.20397033,0.20537193,0.18756554
P.axil1059,0.16980846,0.1637185,0.16873844,0.16943435,0.108256236,0.15011618,0.13287134,0.13690297,0.0,0.15592119,0.15264045,0.15238044,0.15117101,0.14940016,0.18792182,0.19498089,0.19315317,0.18546505,0.18841237,0.19585763,0.18859783,0.1802214,0.18289116,0.19030863,0.18421394,0.19136922,0.18528987,0.18304668,0.19178978,0.1861167,0.19218029,0.1935254,0.19138038,0.19571543,0.1938919,0.18859783,0.18991664,0.18596122,0.1891553,0.1833075,0.18819633,0.18953723,0.19295336,0.19176294,0.18395008,0.18066731,0.18578286,0.18883947,0.19359541,0.17645575,0.17560008,0.19479345,0.18833855,0.1954404,0.1734672,0.17669363,0.17621589,0.17627785,0.18509689,0.18185976,0.191692,0.19297357,0.180347
P.axil1062,0.16534732,0.1563235,0.16518626,0.16594788,0.15602458,0.16186312,0.16240795,0.16361779,0.15592119,0.0,0.10489029,0.12229742,0.11666221,0.123246394,0.192725,0.19922777,0.19683218,0.1901698,0.19133061,0.19638896,0.18978658,0.18006414,0.18924338,0.19315457,0.18696655,0.19205445,0.18774664,0.18845388,0.1959819,0.19097707,0.19499335,0.19657621,0.19335473,0.20068207,0.19698448,0.19101022,0.19103962,0.1898998,0.19202161,0.18422975,0.19155815,0.19231111,0.19966279,0.1980321,0.18438412,0.1849843,0.1877985,0.19090746,0.19335522,0.17105731,0.17002338,0.18774949,0.18555644,0.19180997,0.16731425,0.17109604,0.17096029,0.1705354,0.18198512,0.17881836,0.193446,0.1928163,0.17710012
