Pop,lon,lat,CM10_Bio32,CM10_Bio33,CM10_Bio06,CM10_Bio07,CM10_Bio25,CM10_Bio24,CM10_Bio11,CM10_Bio10,CM10_Bio22,CM10_Bio23,CM10_Bio28,CM10_Bio29,CM10_Bio16,CM10_Bio17,CM10_Bio35,CM10_Bio34,CM10_Bio01,CM10_Bio12,CM10_Bio13,CM10_Bio26,CM10_Bio27,CM10_Bio18,CM10_Bio19,CM10_Bio05,CM10_Bio04,CM10_Bio31,CM10_Bio30,CM10_Bio02,CM10_Bio03,CM10_Bio08,CM10_Bio09,CM10_Bio15,CM10_Bio14,CM10_Bio21,CM10_Bio20,wc2_elev,Alt_tri,Alt_topoWet,bdod_15.30cm_mean,soc_0.5cm_mean,ocd_0.5cm_mean,cfvo_15.30cm_mean,soc_15.30cm_mean,nitrogen_15.30cm_mean,silt_0.5cm_mean,sand_0.5cm_mean,cfvo_0.5cm_mean,cec_5.15cm_mean,sand_5.15cm_mean,cfvo_5.15cm_mean,ocd_15.30cm_mean,sand_15.30cm_mean,cec_15.30cm_mean,clay_5.15cm_mean,ocd_5.15cm_mean,cec_0.5cm_mean,clay_0.5cm_mean,phh2o_0.5cm_mean,silt_15.30cm_mean,bdod_5.15cm_mean,phh2o_5.15cm_mean,clay_15.30cm_mean,bdod_0.5cm_mean,silt_5.15cm_mean,soc_5.15cm_mean,nitrogen_5.15cm_mean,nitrogen_0.5cm_mean,phh2o_15.30cm_mean
P_04,-52.558473,-32.401716,1.144475,0.8103791,8.48,19.8426,199.7301,122.5062,13.34846,22.43623,89.4561,0.2778341,1.018485,1.155297,350.849,252.8316,1.143484,0.863588,17.77122,1240,28.5323,192.4258,98.98,304.0316,342.3459,28.3226,0.01220079,0.1324327,0.735353,9.104349,0.4588284,14.32149,20.29696,0.1320834,16.8872,211.09,150.9451,9,1.25,14.1,135,538,494,32,238,139,338,392,28,169,396,33,234,367,194,266,282,299,271,57,324,130,57,309,123,338,277,206,441,57
P_05,-54.122224,-32.510972,1.119924,0.592399,6.53,23.8732,208.2318,118.7897,12.22367,22.6164,88.4619,0.2857559,0.9161387,1.142313,346.1145,258.6205,1.119924,0.5998501,17.25417,1244,28.596,200.0655,99.19453,278.489,340.5717,30.4032,0.01399309,0.2345566,0.53316,11.92553,0.4995364,13.14217,21.30217,0.1168974,17.2851,217.648,153.569,150,31.0,11.2,131,597,438,140,166,135,356,430,82,162,426,100,205,407,168,225,320,174,213,54,344,127,54,249,116,349,303,212,333,54
P_06,-54.306386,-32.936175,1.115227,0.6309347,6.26,24.0335,209.6941,137.7657,11.93876,22.3939,87.9394,0.2909463,0.9277285,1.146142,332.9213,274.0826,1.115227,0.6347581,16.95762,1245,27.4908,201.3271,98.39996,289.0469,331.568,30.2935,0.01409647,0.2141828,0.578299,11.98209,0.4985578,13.77001,21.02078,0.08918945,19.2559,218.788,153.8518,208,16.5,11.59,149,409,407,121,158,142,333,420,94,164,413,107,206,402,165,258,300,168,247,57,315,142,57,283,130,329,284,201,315,57
P_07,-56.509092,-33.365706,1.095401,0.7009289,6.33,24.8248,106.9738,198.3576,12.03119,23.54338,85.8216,0.3054903,0.9493308,1.109923,365.0684,286.7548,1.086733,0.7116402,17.54215,1253,29.116,215.4815,99.7762,346.8701,289.1848,31.1548,0.01555275,0.1668361,0.627383,11.42548,0.4602448,22.93939,12.15377,0.1069911,20.1859,228.145,160.3782,78,3.38,12.88,153,446,395,47,190,166,261,464,39,186,460,39,216,438,193,282,291,193,275,60,258,143,61,304,136,258,251,172,323,61
P_08,-54.894067,-34.151017,1.11936,0.7055085,6.25161,22.94189,212.9297,111.6369,11.48379,21.86084,84.1677,0.3063292,0.9702812,1.146841,334.4801,280.5096,1.117671,0.7078305,16.46522,1250,27.3498,204.7949,98.4687,290.2715,321.4622,29.1935,0.01405228,0.1754668,0.651326,11.03348,0.4809315,14.69496,20.79496,0.07586068,19.3485,221.411,154.1316,150,15.62,11.17,152,547,451,102,154,137,371,314,72,207,308,82,194,291,224,326,329,224,316,59,361,141,59,349,130,367,284,220,340,60
P_09,-53.5424,-34.046,1.118714,0.8624198,7.81,19.4835,201.6753,98.10749,12.3403,20.86279,85.4919,0.29957,1.013974,1.141439,305.0328,267.8231,1.11913,0.8739656,16.52603,1142,25.2204,197.9617,93.97423,283.1908,304.5937,27.2935,0.01164662,0.09988455,0.81644,9.354171,0.4801073,12.44898,18.75589,0.0640194,18.6596,217.365,152.3451,25,16.38,12.15,132,615,538,69,202,162,205,647,57,198,636,61,269,642,197,156,340,297,148,58,205,128,58,153,124,208,420,239,382,59
P_10,-53.7863,-34.3947,1.116937,0.8263485,7.44,19.7826,204.9718,97.24459,12.14786,20.9402,84.5806,0.3032417,1.002355,1.136387,303.2098,259.5693,1.116699,0.8376227,16.4233,1131,24.7798,198.3933,94.75826,276.9358,303.0461,27.2226,0.01192951,0.1162771,0.774479,9.503735,0.4804088,12.18831,18.97674,0.07210423,17.3197,217.677,152.0424,10,10.0,12.37,121,911,660,111,469,235,285,487,107,180,480,107,385,463,203,232,470,277,228,59,284,115,59,253,110,288,701,280,429,59
P_11,-55.0425,-34.907,1.106664,0.7786291,8.21935,18.34195,212.3385,137.9036,12.09017,21.55335,82.2326,0.3146742,0.9844151,1.12336,284.7767,230.9733,1.105154,0.7912047,16.69195,1054,23.0362,202.8234,100.9952,255.2469,280.8808,26.5613,0.01281007,0.1373893,0.713594,7.720105,0.4208988,13.1439,19.4585,0.09186852,15.608,223.237,154.4399,13,16.5,11.78,131,589,551,89,287,150,259,503,86,196,491,91,293,465,200,246,390,261,238,62,257,125,62,278,121,263,378,254,421,62
P_12,-55.199194,-34.886806,1.100741,0.7448465,8.0,19.0516,212.8219,138.293,11.96988,21.71569,82.0535,0.3156632,0.9697779,1.118537,282.613,234.8676,1.098949,0.7565902,16.71202,1057,22.5772,203.2795,101.0757,256.0731,276.5562,27.0516,0.01320164,0.1512704,0.684221,8.17782,0.4292458,13.12567,19.65897,0.08043712,15.8556,223.574,154.7134,6,3.88,11.91,107,649,545,65,450,179,278,415,63,195,403,71,244,376,208,319,378,280,307,61,272,103,62,352,100,278,537,285,467,62
P_13,-57.16266,-34.26062,1.08601,0.7144868,6.65161,23.20319,110.134,149.2302,11.58047,22.76652,82.911,0.3158617,0.9620246,1.095611,330.8872,260.1016,1.073742,0.7202173,16.96303,1196,28.6353,213.9901,100.79,308.524,261.584,29.8548,0.01514139,0.1594621,0.664292,10.38439,0.4475414,18.34484,11.80479,0.1034884,18.7053,228.638,159.8391,38,5.75,12.7,157,501,439,15,161,168,384,326,12,246,326,13,214,306,254,293,354,244,290,61,372,147,62,321,137,382,266,233,353,62
