Indv	Pop	Group	All
P.axil1002	P_04	Cluster_C	Paxil
P.axil1003	P_04	Cluster_C	Paxil
P.axil1004	P_04	Cluster_C	Paxil
P.axil1012	P_04	Cluster_C	Paxil
P.axil1052	P_06	Cluster_B	Paxil
P.axil1053	P_06	Cluster_B	Paxil
P.axil1054	P_06	Cluster_B	Paxil
P.axil1056	P_06	Cluster_B	Paxil
P.axil1059	P_06	Cluster_B	Paxil
P.axil1062	P_05	Cluster_B	Paxil
P.axil1064	P_05	Cluster_B	Paxil
P.axil1068	P_05	Cluster_B	Paxil
P.axil1069	P_05	Cluster_B	Paxil
P.axil1070	P_05	Cluster_B	Paxil
P.axil333	P_13	Cluster_D	Paxil
P.axil334	P_13	Cluster_D	Paxil
P.axil335	P_13	Cluster_D	Paxil
P.axil343	P_13	Cluster_D	Paxil
P.axil349	P_13	Cluster_D	Paxil
P.axil350	P_11	Cluster_D	Paxil
P.axil351	P_11	Cluster_D	Paxil
P.axil352	P_11	Cluster_D	Paxil
P.axil353	P_11	Cluster_D	Paxil
P.axil354	P_11	Cluster_D	Paxil
P.axil366	P_10	Cluster_D	Paxil
P.axil374	P_10	Cluster_D	Paxil
P.axil376	P_10	Cluster_D	Paxil
P.axil377	P_10	Cluster_D	Paxil
P.axil378	P_10	Cluster_D	Paxil
P.axil489	P_12	Cluster_D	Paxil
P.axil490	P_12	Cluster_D	Paxil
P.axil491	P_12	Cluster_D	Paxil
P.axil494	P_12	Cluster_D	Paxil
P.axil495	P_12	Cluster_D	Paxil
P.axil828	P_08	Cluster_D	Paxil
P.axil829	P_08	Cluster_D	Paxil
P.axil830	P_08	Cluster_D	Paxil
P.axil831	P_08	Cluster_D	Paxil
P.axil832	P_08	Cluster_D	Paxil
P.axil914	P_07	Cluster_D	Paxil
P.axil915	P_07	Cluster_D	Paxil
P.axil916	P_07	Cluster_D	Paxil
P.axil917	P_07	Cluster_D	Paxil
P.axil918	P_07	Cluster_D	Paxil
P.axil990	P_09	Cluster_D	Paxil
P.axil991	P_09	Cluster_D	Paxil
P.axil992	P_09	Cluster_D	Paxil
P.axil993	P_09	Cluster_D	Paxil
P.axil994	P_09	Cluster_D	Paxil
axil_1115_43	P_03	Cluster_B	Paxil
axil_1116_43	P_03	Cluster_B	Paxil
axil_1117_43	P_03	Cluster_B	Paxil
axil_1120_43	P_03	Cluster_B	Paxil
axil_1935	P_02	Cluster_B	Paxil
axil_1936	P_02	Cluster_B	Paxil
axil_1937	P_02	Cluster_B	Paxil
axil_1940	P_02	Cluster_B	Paxil
axil_1946	P_02	Cluster_B	Paxil
axil_09_63	P_01	Cluster_A	Paxil
axil_10_63	P_01	Cluster_A	Paxil
axil_11_63	P_01	Cluster_A	Paxil
axil_12_63	P_01	Cluster_A	Paxil
axil_14_63	P_01	Cluster_A	Paxil
