Indv,Pop,New_name_Indv
P.axil1002,P_04,Paxil_1002
P.axil1003,P_04,Paxil_1003
P.axil1004,P_04,Paxil_1004
P.axil1012,P_04,Paxil_1012
P.axil1052,P_06,Paxil_1052
P.axil1053,P_06,Paxil_1053
P.axil1054,P_06,Paxil_1054
P.axil1056,P_06,Paxil_1056
P.axil1059,P_06,Paxil_1059
P.axil1062,P_05,Paxil_1062
P.axil1064,P_05,Paxil_1064
P.axil1068,P_05,Paxil_1068
P.axil1069,P_05,Paxil_1069
P.axil1070,P_05,Paxil_1070
P.axil333,P_13,Paxil_333
P.axil334,P_13,Paxil_334
P.axil335,P_13,Paxil_335
P.axil343,P_13,Paxil_343
P.axil349,P_13,Paxil_349
P.axil350,P_11,Paxil_350
P.axil351,P_11,Paxil_351
P.axil352,P_11,Paxil_352
P.axil353,P_11,Paxil_353
P.axil354,P_11,Paxil_354
P.axil366,P_10,Paxil_366
P.axil374,P_10,Paxil_374
P.axil376,P_10,Paxil_376
P.axil377,P_10,Paxil_377
P.axil378,P_10,Paxil_378
P.axil489,P_12,Paxil_489
P.axil490,P_12,Paxil_490
P.axil491,P_12,Paxil_491
P.axil494,P_12,Paxil_494
P.axil495,P_12,Paxil_495
P.axil828,P_08,Paxil_828
P.axil829,P_08,Paxil_829
P.axil830,P_08,Paxil_830
P.axil831,P_08,Paxil_831
P.axil832,P_08,Paxil_832
P.axil914,P_07,Paxil_914
P.axil915,P_07,Paxil_915
P.axil916,P_07,Paxil_916
P.axil917,P_07,Paxil_917
P.axil918,P_07,Paxil_918
P.axil990,P_09,Paxil_990
P.axil991,P_09,Paxil_991
P.axil992,P_09,Paxil_992
P.axil993,P_09,Paxil_993
P.axil994,P_09,Paxil_994
axil_1115_43,P_03,Paxil_1115
axil_1116_43,P_03,Paxil_1116
axil_1117_43,P_03,Paxil_1117
axil_1120_43,P_03,Paxil_1120
axil_1935,P_02,Paxil_1935
axil_1936,P_02,Paxil_1936
axil_1937,P_02,Paxil_1937
axil_1940,P_02,Paxil_1940
axil_1946,P_02,Paxil_1946
axil_09_63,P_01,Paxil_09
axil_10_63,P_01,Paxil_10
axil_11_63,P_01,Paxil_11
axil_12_63,P_01,Paxil_12
axil_14_63,P_01,Paxil_14
